Uid,Sid,Identifier,Model,Name,Alias,Status,CreateTime,UpdateTime
8284342367,849971128,849971128,miwear.watch.n66gl,Xiaomi Smart Band 9   ,,2,1747987061448444383,1758456281562508811
8284342367,984366257,984366257,miwear.watch.o66gl,Xiaomi Smart Band 10   ,,1,1757501241449025544,1757501241449025544
8284342367,xiaomiwear_app,xiaomiwear_app,mihlth.xiaomi.fitness.app,Mi Fitness,,2,1747986908056727631,1747986908056727731
8284342367,xiaomiwear_app_manually,xiaomiwear_app_manually,mihlth.xiaomi.fitness.manually,Add data,,2,1747986908051133094,1747986908051133194
